collision(
1111111111111110000000
1100000000000010000000
1000000000000010000000
1100000000000010000000
1111110000111110000000
1000000000000010000000
1000000000000010000000
1000000000000010000000
1000000000000010000000
1010000000000010000000
1010000000000010000000
1010001000000010000000
1011111000000010000000
1000000000101010000000
1111111111111110000000
0000000000000001111111
0000000000000001101011
0000000000000001100001
0000000000000001000001
0000000000000001100001
0000000000000001010101
0000000000000001111111
)
ceilings(
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
)
walls(
1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,2,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,7,0,7,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
)
floors(
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
)
